x,y
276.7480010986328,6.586000323295593
279.81275177001953,6.6893486976623535
282.8634719848633,6.9998791217803955
285.8858337402344,7.518049001693726
288.86548614501953,8.242473602294922
291.7882843017578,9.17006802558899
294.6404495239258,10.296305418014526
297.40872955322266,11.615373611450195
300.08023834228516,13.120768070220947
302.64298248291016,14.804713249206543
305.0855178833008,16.658719062805176
307.3966522216797,18.674163818359375
309.5660171508789,20.841463088989258
311.5838165283203,23.150530338287354
313.4401626586914,25.59128761291504
315.1265182495117,28.152441024780273
316.63452911376953,30.82249355316162
317.95611572265625,33.58956050872803
319.0848693847656,36.44073009490967
320.01499938964844,39.36272144317627
320.7419738769531,42.34177303314209
321.2627487182617,45.363691329956055
321.5759963989258,48.41412830352783
321.6818542480469,51.478790283203125
321.5814437866211,54.54363250732422
321.2737808227539,57.59463310241699
320.7582473754883,60.61745262145996
320.0360794067383,63.597665786743164
319.1102523803711,66.52103614807129
317.9852066040039,69.37366485595703
316.66675567626953,72.14220809936523
315.16158294677734,74.8138656616211
313.4771499633789,77.37627220153809
311.6222457885742,79.8181037902832
309.6056823730469,82.12825965881348
307.4369354248047,84.29618835449219
305.12628173828125,86.31217956542969
302.68399810791016,88.16652297973633
300.12134552001953,89.85060119628906
297.449951171875,91.35624313354492
294.6818084716797,92.67560386657715
291.8298034667969,93.80218887329102
288.90718841552734,94.73042488098145
285.9277877807617,95.45587158203125
282.90567779541016,95.97554206848145
279.85518646240234,96.28813171386719
276.79052734375,96.39386367797852
273.7256851196289,96.29365348815918
270.67462158203125,95.98649978637695
267.6516647338867,95.4718132019043
264.671142578125,94.75086402893066
261.7472915649414,93.82660484313965
258.89391326904297,92.70345306396484
256.12437438964844,91.3870792388916
253.4515380859375,89.88402366638184
250.8876724243164,88.2017993927002
248.44424438476562,86.34900093078613
246.13253784179688,84.3342170715332
243.9629898071289,82.16709518432617
241.945556640625,79.85770034790039
240.09010314941406,77.41625785827637
238.40521240234375,74.85416030883789
236.89933013916016,72.18290328979492
235.58030700683594,69.41463470458984
234.45452880859375,66.56229782104492
233.52774047851562,63.63924217224121
232.8042449951172,60.65934371948242
232.28694915771484,57.63683319091797
231.97711181640625,54.58606147766113
231.8740005493164,51.521305084228516
231.9769058227539,48.45651149749756
232.28644561767578,45.405694007873535
232.80319213867188,42.38309192657471
233.52584075927734,39.402981758117676
234.4513931274414,36.47953128814697
235.57554626464844,33.62656497955322
236.8925323486328,30.85729217529297
238.3958740234375,28.184624671936035
240.07801818847656,25.620701789855957
241.93042755126953,23.17694902420044
243.94451904296875,20.864648818969727
246.11072540283203,18.694209575653076
248.41899871826172,16.67549753189087
250.85924530029297,14.81845760345459
253.4200897216797,13.131681442260742
256.0901107788086,11.623599767684937
258.85729217529297,10.302252054214478
261.70870208740234,9.17411208152771
264.63099670410156,8.24497127532959
267.6103744506836,7.519390821456909
270.6326217651367,7.000434160232544
273.6832733154297,6.689476013183594
517.4207305908203,126.56630325317383
518.7827606201172,129.28671264648438
520.1447906494141,132.00713348388672
521.5068206787109,134.72754287719727
522.8688507080078,137.4479522705078
524.2308807373047,140.16837310791016
525.5929107666016,142.8887825012207
526.9549407958984,145.60919189453125
528.3169708251953,148.3296012878418
529.6790008544922,151.05002212524414
531.0410308837891,153.7704315185547
531.3682403564453,156.14652252197266
528.6478424072266,157.50855255126953
525.9274444580078,158.8705825805664
523.2070007324219,160.23261260986328
520.4866027832031,161.59464263916016
517.7662048339844,162.95667266845703
515.0457611083984,164.3187141418457
512.3253631591797,165.68074417114258
509.60496520996094,167.04277420043945
